"source_url","platform","published_at","author","title_or_caption","views","likes","comments","shares","saves","duration_sec","topic_hint","notes"
"https://www.youtube.com/shorts/HMcuorFPdQU","YouTube Shorts","2026-07-12","unknown","Помните о свидетелях! Как давать и возвращать долги по расписке","37000","0","0","0","0","0","долги","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=долг по расписке shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/ZKugZyG9T0U","YouTube Shorts","2026-07-12","unknown","Как вернуть деньги, данные в долг под расписку","45000","0","0","0","0","0","долги","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=долг по расписке shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/T_-adMNDuHs","YouTube Shorts","2026-07-12","unknown","Как списать долг по расписке","825","0","0","0","0","0","долги","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=долг по расписке shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/FytHW96ECts","YouTube Shorts","2026-07-12","unknown","Когда заказчик не платит деньги","15000","0","0","0","0","0","договоры","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=клиент не заплатил shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/NI4EtnwXCN8","YouTube Shorts","2026-07-12","unknown","Заказчик не заплатил? Что делать","14000","0","0","0","0","0","договоры","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=клиент не заплатил shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/hFEBWL-IrDw","YouTube Shorts","2026-07-12","unknown","Клиент не платит, что делать","37","0","0","0","0","0","договоры","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=клиент не заплатил shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible; weak metrics"
"https://www.youtube.com/shorts/WABbFASESlw","YouTube Shorts","2026-07-12","unknown","Когда дают аванс: строительство, юмор, деньги","25000","0","0","0","0","0","ремонт/строители","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=строители взяли аванс и пропали shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/tV_DlzgCCoQ","YouTube Shorts","2026-07-12","unknown","Когда решил взять строителей подешевле","6300","0","0","0","0","0","ремонт/строители","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=строители взяли аванс и пропали shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/W7h-m6d61V0","YouTube Shorts","2026-07-12","unknown","Когда строители только что получили аванс и начали работы","10000","0","0","0","0","0","ремонт/строители","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=строители взяли аванс и пропали shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/Roa_bfab01U","YouTube Shorts","2026-07-12","unknown","POV: застройщик задержал сдачу дома уже четвертый раз","575","0","0","0","0","0","застройщик","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=застройщик задержал сдачу shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/WzrsaxY1vh8","YouTube Shorts","2026-07-12","unknown","Что делать, если срок сдачи жилья задерживают","1900","0","0","0","0","0","застройщик","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=застройщик задержал сдачу shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/S_0emugZMG4","YouTube Shorts","2026-07-12","unknown","Если застройщик задерживает сдачу дома, что делать","5600","0","0","0","0","0","застройщик","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=застройщик задержал сдачу shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
"https://www.youtube.com/shorts/3F7DDkEg_C4","YouTube Shorts","2026-07-12","unknown","Когда принесли возврат","10000","0","0","0","0","0","возврат товара","topic_first_false_start; legacy_test_source; do_not_use_for_script_assignment; legal_topic_first false start; 24-72h fresh scan; public_search; metrics incomplete; public YouTube search; query=магазин отказал в возврате shorts; views visible_on_page; likes/comments unknown; published_at approximate set to collection date because exact date not visible"
